name,description,platforms,technique_id,technique_name
Mavinject DLL Injection HMODULE,Detects use of mavinject.exe to inject DLLs into a process using the HMODULE flag.,windows,T1218,System Binary Proxy Execution
Mavinject DLL Injection HMODULE,Detects use of mavinject.exe to inject DLLs into a process using the HMODULE flag.,windows,T1127,Trusted Developer Utilities Proxy Execution
Mavinject DLL Injection HMODULE,Detects use of mavinject.exe to inject DLLs into a process using the HMODULE flag.,windows,T1055,Process Injection
Mavinject DLL Injection HMODULE,Detects use of mavinject.exe to inject DLLs into a process using the HMODULE flag.,windows,T1055.001,Process Injection: Dynamic-link Library Injection
Mavinject DLL Injection HMODULE,Detects use of mavinject.exe to inject DLLs into a process using the HMODULE flag.,windows,T1112,Modify Registry
DE_ClickFix,,windows,,
DE_PowerShellCommand LineEncoding,Detects execution of the PowerShell script interpreter with the encoding PowerShell argument that can be used to obfuscate malicious code.,windows,T1001,Data Obfuscation
DE_PowerShellCommand LineEncoding,Detects execution of the PowerShell script interpreter with the encoding PowerShell argument that can be used to obfuscate malicious code.,windows,T1027,Obfuscated Files or Information
DE_PowerShellCommand LineEncoding,Detects execution of the PowerShell script interpreter with the encoding PowerShell argument that can be used to obfuscate malicious code.,windows,T1059,Command and Scripting Interpreter
DE_PowerShellCommand LineEncoding,Detects execution of the PowerShell script interpreter with the encoding PowerShell argument that can be used to obfuscate malicious code.,windows,T1059.001,Command and Scripting Interpreter: PowerShell
DE_PowerShellCommand LineEncoding,Detects execution of the PowerShell script interpreter with the encoding PowerShell argument that can be used to obfuscate malicious code.,windows,T1132,Data Encoding
DE_PowerShellCommand LineEncoding,Detects execution of the PowerShell script interpreter with the encoding PowerShell argument that can be used to obfuscate malicious code.,windows,T1132.001,Data Encoding Mitigation: Standard Encoding
OneNote Spawned Process Creating DLL Files,Detects the creation of DLL files by OneNote or a descendent process which may be a sign of attack activity.,windows,T1204,User Execution
OneNote Spawned Process Creating DLL Files,Detects the creation of DLL files by OneNote or a descendent process which may be a sign of attack activity.,windows,T1204.002,User Execution Mitigation: Malicious File
Microsoft Access Spawned Connection to Port 443,Detects the connection to port 443 by a descendent process of Microsoft Access which may be a sign of attack activity.,windows,T1008,Fallback Channels
Microsoft Access Spawned Connection to Port 443,Detects the connection to port 443 by a descendent process of Microsoft Access which may be a sign of attack activity.,windows,T1204,User Execution
Microsoft Access Spawned Connection to Port 443,Detects the connection to port 443 by a descendent process of Microsoft Access which may be a sign of attack activity.,windows,T1204.002,User Execution Mitigation: Malicious File
Graph Spawned Process Creating PS1 Files,Detects the creation of PS1 files by Graph or a descendent process which may be a sign of attack activity.,windows,T1059,Command and Scripting Interpreter
Graph Spawned Process Creating PS1 Files,Detects the creation of PS1 files by Graph or a descendent process which may be a sign of attack activity.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
Graph Spawned Process Creating PS1 Files,Detects the creation of PS1 files by Graph or a descendent process which may be a sign of attack activity.,windows,T1204,User Execution
Graph Spawned Process Creating PS1 Files,Detects the creation of PS1 files by Graph or a descendent process which may be a sign of attack activity.,windows,T1204.002,User Execution Mitigation: Malicious File
Microsoft DevTunnel Activation,Detects the activation of a Microsoft DevTunnel process,windows,T1219,Remote Access Tools
Bitlocker Tamper Disable Bitlocker,Detects potential tampering with Bitlocker on a system.,windows,T1562,Impair Defenses
Bitlocker Tamper Disable Bitlocker,Detects potential tampering with Bitlocker on a system.,windows,T1562.001,Impair Defenses: Disable or Modify Tools
Bitlocker Tamper Disable BitLockerAutoUnlock,Detects potential tampering with Bitlocker on a system.,windows,T1562,Impair Defenses
Bitlocker Tamper Disable BitLockerAutoUnlock,Detects potential tampering with Bitlocker on a system.,windows,T1562.001,Impair Defenses: Disable or Modify Tools
DE_TamperedChef,,windows,T1112,Modify Registry
